,phones name
0,"POCO C31 (Royal Blue, 64 GB)"
1,"Infinix HOT 12 Play (Daylight Green, 64 GB)"
2,"realme C35 (Glowing Green, 64 GB)"
3,"POCO M4 Pro 5G (Cool Blue, 64 GB)"
4,"realme C20 (Cool Grey, 32 GB)"
5,"realme C20 (Cool Blue, 32 GB)"
6,"realme 9i (Prism Blue, 128 GB)"
7,"realme 9i (Prism Blue, 64 GB)"
8,"realme 9i (Prism Black, 64 GB)"
9,"REDMI 9i Sport (Coral Green, 64 GB)"
10,"realme Narzo 30 5G (Racing Silver, 128 GB)"
11,"realme Narzo 30 5G (Racing Blue, 128 GB)"
12,"REDMI Note 10T 5G (Metallic Blue, 64 GB)"
13,"realme Narzo 50A (Oxygen Green, 128 GB)"
14,"realme Narzo 50A (Oxygen Green, 64 GB)"
15,"realme Narzo 50A (Oxygen Blue, 64 GB)"
16,"REDMI 10 (Pacific Blue, 64 GB)"
17,"Infinix HOT 12 Play (Horizon Blue, 64 GB)"
18,"Infinix HOT 12 Play (Racing Black, 64 GB)"
19,"realme C35 (Glowing Black, 64 GB)"
20,"POCO M4 Pro 5G (Power Black, 64 GB)"
21,"REDMI 9i Sport (Metallic Blue, 64 GB)"
22,"realme 9i (Prism Black, 128 GB)"
23,"realme 9i (Prism Black, 128 GB)"
